District,Date(D_M_YYYY),Time(Hour_of_a_day),Temperature(Celsius),Humidity(Percentage),WindSpeed(KM/H),Precipitation(Millimeters),AtmosphericPressure(Millibars),PM10(ug/m3),NO2(ug/m3),SO2(ug/m3),CO(ug/m3),O3(ug/m3),AQI(Index/Level),PM2_5(ug/m3)
Bang Bon,6/2/2025,0:00,25.7,81,16.9,0,1010,92.35,11.31,5.42,787.74,88.69,4,66.1
Bang Bon,6/2/2025,1:00,25.4,81,13.7,0,1009,88.42,10.88,5.19,774.38,81.54,4,62.93
Bang Bon,6/2/2025,2:00,25.3,82,12.2,0,1009,83.15,10.97,4.23,774.38,65.09,4,57.8
Bang Bon,6/2/2025,3:00,25.2,83,12.2,0,1008,82.74,11.82,3.46,801.09,48.64,4,55.62
Bang Bon,6/2/2025,4:00,25.1,85,11.5,0,1008,86.98,12.85,3.49,827.79,37.55,4,55
Bang Bon,6/2/2025,5:00,25.1,83,9.7,0.06,1008,94.36,13.88,3.93,867.84,28.97,4,55.84
Bang Bon,6/2/2025,6:00,25.1,83,7.9,0.06,1009,103.56,16.45,4.47,947.95,18.6,4,58.05
Bang Bon,6/2/2025,7:00,25.2,83,6.5,0,1010,118.78,24.33,6.44,1161.58,6.8,4,64.43
Bang Bon,6/2/2025,8:00,26.4,76,6.5,0,1011,148.19,40.1,14.54,1815.8,1.05,5,84.43
Bang Bon,6/2/2025,9:00,27.8,68,9,0,1012,196.79,58.26,26.46,3044.13,4.56,5,120.71
Bang Bon,6/2/2025,10:00,28.7,64,11.9,0,1012,228.4,93.22,30.99,3845.22,26.82,5,143.7
Bang Bon,6/2/2025,11:00,29.1,62,13.7,0,1011,126.49,39.41,27.66,1522.06,141.62,5,77.38
Bang Bon,6/2/2025,12:00,29.4,59,13.3,0,1010,82.62,8.91,12.04,894.55,178.81,4,57.3
Bang Bon,6/2/2025,13:00,29.6,58,15.5,0,1009,71.66,4.54,8.7,754.36,178.81,4,52.87
Bang Bon,6/2/2025,14:00,29.6,58,17.3,0,1008,63.07,3.43,6.56,667.57,165.94,4,46.97
Bang Bon,6/2/2025,15:00,29.5,59,19.8,0,1007,56.15,3.17,5.13,607.49,148.77,4,41
Bang Bon,6/2/2025,16:00,29.1,61,19.8,0,1006,51.71,3.38,4.65,580.79,137.33,3,37.29
Bang Bon,6/2/2025,17:00,28.5,64,20.2,0,1006,56.43,7.71,5.72,654.22,115.87,3,36.15
Bang Bon,6/2/2025,18:00,27.4,73,19.4,0,1007,64.28,15.42,7.57,781.06,78.68,3,33.95
Bang Bon,6/2/2025,19:00,26.5,79,22.3,0,1008,65.51,19.36,7.75,834.47,48.64,3,29.71
Bang Bon,6/2/2025,20:00,26.3,81,23.4,0,1008,63.75,19.88,7.57,821.11,35.76,3,27.41
Bang Bon,6/2/2025,21:00,26.2,81,24.1,0,1009,61.23,17.82,7.03,774.38,33.26,3,26.67
Bang Bon,6/2/2025,22:00,26.2,80,22.3,0,1009,57.57,14.57,6.02,700.95,33.26,3,25.66
Bang Bon,6/2/2025,23:00,26.1,80,20.9,0,1009,53.49,11.82,5.01,634.19,33.26,3,24.63
Bang Bon,5/2/2025,0:00,25.5,82,16.6,0,1010,214.69,37.36,8.94,2216.34,14.66,5,134.88
Bang Bon,5/2/2025,1:00,25.2,81,13.7,0,1010,204.75,32.56,6.68,2029.42,12.52,5,131.38
Bang Bon,5/2/2025,2:00,25.1,81,9.7,0,1010,190.74,28.79,5.48,1842.5,11.09,5,124.77
Bang Bon,5/2/2025,3:00,24.9,81,7.9,0,1009,180.21,26.73,5.07,1682.28,8.85,5,117.97
Bang Bon,5/2/2025,4:00,25,81,8.6,0,1009,180.93,30.16,5.36,1708.98,4.02,5,117.71
Bang Bon,5/2/2025,5:00,25,82,9.4,0,1009,193.69,39.41,7.45,2056.12,0.31,5,126.6
Bang Bon,5/2/2025,6:00,25,83,8.6,0,1010,216.83,51.41,11.21,2616.88,0,5,143.83
Bang Bon,5/2/2025,7:00,25,84,8.6,0,1010,249.68,68.55,18.84,3391.27,0,5,167.63
Bang Bon,5/2/2025,8:00,26.3,77,9.7,0,1011,297.18,101.45,50.55,4432.68,0.83,5,195.39
Bang Bon,5/2/2025,9:00,27.5,70,13.7,0,1012,345.95,139.83,82.97,5340.58,7.6,5,223.72
Bang Bon,5/2/2025,10:00,28.2,66,17.6,0,1013,414.87,213.86,106.81,5928.04,62.23,5,283.44
Bang Bon,5/2/2025,11:00,28.7,60,15.8,0,1012,252.52,82.25,60.56,2670.29,220.3,5,195.73
Bang Bon,5/2/2025,12:00,29.2,53,15.1,0,1011,190.55,25.36,35.76,1708.98,274.66,5,156.44
Bang Bon,5/2/2025,13:00,29.4,51,15.1,0,1010,180.05,13.37,32.42,1508.71,300.41,5,148.85
Bang Bon,5/2/2025,14:00,29.4,52,14,0,1009,168.34,9.94,29.33,1401.9,300.41,5,135.83
Bang Bon,5/2/2025,15:00,29.6,53,14.4,0,1007,161.12,9.25,24.56,1308.44,286.1,5,125.39
Bang Bon,5/2/2025,16:00,29.6,53,13.7,0,1007,150.05,9.51,19.79,1201.63,257.49,5,112.47
